i,latencyope,time
265,198.700000,0.056561
266,189.201994,0.056755
267,182.916003,0.056943
268,181.937998,0.057130
269,187.594997,0.057322
270,185.989004,0.057513
271,182.496005,0.057700
272,185.010998,0.057890
273,180.540999,0.058076
274,185.290002,0.058266
275,183.334007,0.058454
276,184.032993,0.058643
277,181.309006,0.058829
278,183.893004,0.059018
279,185.220997,0.059208
280,182.007003,0.059395
281,182.356001,0.059582
282,185.291006,0.059773
283,182.775999,0.059960
284,184.521996,0.060149
285,184.311997,0.060338
286,201.703006,0.060544
287,191.995001,0.060741
288,185.498997,0.060931
289,186.966994,0.061123
290,180.679999,0.061308
291,182.636999,0.061496
292,185.779005,0.061686
293,182.078002,0.061873
294,185.708996,0.062064
295,180.821007,0.062249
296,182.706004,0.062437
297,185.500001,0.062628
298,182.566000,0.062815
299,179.074006,0.062999
300,185.151002,0.063188
301,186.197998,0.063383
302,182.217002,0.063570
303,181.028998,0.063755
304,180.122006,0.063941
305,185.987999,0.064131
306,185.010998,0.064321
307,195.137996,0.064521
308,186.546997,0.064712
309,186.966005,0.064904
310,184.382006,0.065093
311,184.521996,0.065282
312,179.633003,0.065467
313,181.868003,0.065653
314,187.105994,0.065845
315,184.592005,0.066034
316,191.575993,0.066230
317,179.494004,0.066414
318,182.357006,0.066602
319,182.914999,0.066790
320,182.916003,0.066978
321,184.242002,0.067167
322,184.660996,0.067356
323,183.544005,0.067544
324,184.731005,0.067734
325,180.960007,0.067920
326,184.521996,0.068109
327,183.124997,0.068297
328,183.195007,0.068484
329,206.940997,0.068696
330,179.843002,0.068881
331,185.708996,0.069071
332,184.032993,0.069261
333,182.984993,0.069448
334,180.471005,0.069634
335,182.147996,0.069821
336,186.128003,0.070012
337,181.658994,0.070198
338,184.941004,0.070388
339,179.003997,0.070571
340,182.984993,0.070759
341,186.267993,0.070950
342,185.989004,0.071141
343,180.051997,0.071326
344,185.010998,0.071516
345,181.379000,0.071702
346,313.728990,0.072061
